Test Name,Local Send Socket Size Final,Local Recv Socket Size Final,Remote Recv Socket Size Final,Remote Send Socket Size Final,Request Size Bytes,Response Size Bytes,Elapsed Time (sec),Throughput,Throughput Units
tcp_8_1,46080,372480,327520,44800,100,170,40.00,345.75,Trans/s
tcp_32_1,46080,372480,327520,44800,100,170,40.00,345.83,Trans/s
tcp_240_1,46080,372480,327520,44800,100,170,40.00,343.91,Trans/s
tcp_8_25,46080,372480,327520,44800,100,170,40.01,19.52,Trans/s
tcp_32_25,46080,372480,327520,44800,100,170,40.02,19.54,Trans/s
tcp_240_25,46080,372480,327520,44800,100,170,40.00,19.55,Trans/s
tcp_8_200,46080,372480,327520,44800,100,170,40.16,2.32,Trans/s
tcp_32_200,46080,372480,327520,44800,100,170,40.09,2.32,Trans/s
tcp_240_200,46080,372480,327520,44800,100,170,40.10,2.37,Trans/s
udp_8_1,46080,372480,327520,44800,100,170,40.00,362.92,Trans/s
udp_32_1,46080,372480,327520,44800,100,170,40.00,363.28,Trans/s
udp_240_1,46080,372480,327520,44800,100,170,40.00,363.05,Trans/s
udp_8_25,46080,372480,327520,44800,100,170,40.02,19.64,Trans/s
udp_32_25,46080,372480,327520,44800,100,170,40.02,19.64,Trans/s
udp_240_25,46080,372480,327520,44800,100,170,40.02,19.64,Trans/s
udp_8_200,46080,372480,327520,44800,100,170,40.09,2.44,Trans/s
udp_32_200,46080,372480,327520,44800,100,170,40.09,2.44,Trans/s
udp_240_200,46080,372480,327520,44800,100,170,40.09,2.44,Trans/s
