Test Name,Local Send Socket Size Final,Local Recv Socket Size Final,Remote Recv Socket Size Final,Remote Send Socket Size Final,Request Size Bytes,Response Size Bytes,Elapsed Time (sec),Throughput,Throughput Units
tcp_8_1,46080,372480,327520,44800,1,1,40.00,370.88,Trans/s
tcp_32_1,46080,372480,327520,44800,1,1,40.00,371.34,Trans/s
tcp_240_1,46080,372480,327520,44800,1,1,40.00,373.20,Trans/s
tcp_8_25,46080,372480,327520,44800,1,1,40.01,19.59,Trans/s
tcp_32_25,46080,372480,327520,44800,1,1,40.02,19.44,Trans/s
tcp_240_25,46080,372480,327520,44800,1,1,40.01,19.59,Trans/s
tcp_8_200,46080,372480,327520,44800,1,1,40.08,2.32,Trans/s
tcp_32_200,46080,372480,327520,44800,1,1,40.07,2.32,Trans/s
tcp_240_200,46080,372480,327520,44800,1,1,40.07,2.32,Trans/s
udp_8_1,46080,372480,327520,44800,1,1,40.00,406.83,Trans/s
udp_32_1,46080,372480,327520,44800,1,1,40.00,407.75,Trans/s
udp_240_1,46080,372480,327520,44800,1,1,40.00,407.21,Trans/s
udp_8_25,46080,372480,327520,44800,1,1,40.00,19.75,Trans/s
udp_32_25,46080,372480,327520,44800,1,1,40.04,19.76,Trans/s
udp_240_25,46080,372480,327520,44800,1,1,40.04,19.75,Trans/s
udp_8_200,46080,372480,327520,44800,1,1,40.06,2.45,Trans/s
udp_32_200,46080,372480,327520,44800,1,1,40.06,2.45,Trans/s
udp_240_200,46080,372480,327520,44800,1,1,40.06,2.45,Trans/s
