Percentage served,Time in ms
0,0.776
1,1.033
2,1.069
3,1.096
4,1.115
5,1.139
6,1.155
7,1.176
8,1.187
9,1.203
10,1.214
11,1.231
12,1.245
13,1.260
14,1.276
15,1.287
16,1.301
17,1.312
18,1.328
19,1.343
20,1.355
21,1.373
22,1.382
23,1.398
24,1.410
25,1.430
26,1.443
27,1.461
28,1.475
29,1.493
30,1.508
31,1.527
32,1.541
33,1.562
34,1.580
35,1.599
36,1.618
37,1.638
38,1.657
39,1.674
40,1.694
41,1.712
42,1.733
43,1.750
44,1.769
45,1.789
46,1.805
47,1.827
48,1.847
49,1.868
50,1.890
51,1.914
52,1.935
53,1.960
54,1.983
55,2.004
56,2.031
57,2.058
58,2.083
59,2.111
60,2.138
61,2.164
62,2.194
63,2.225
64,2.255
65,2.284
66,2.317
67,2.355
68,2.390
69,2.426
70,2.464
71,2.503
72,2.544
73,2.589
74,2.632
75,2.679
76,2.723
77,2.774
78,2.821
79,2.881
80,2.937
81,2.995
82,3.053
83,3.115
84,3.187
85,3.261
86,3.329
87,3.407
88,3.490
89,3.579
90,3.681
91,3.801
92,3.915
93,4.049
94,4.202
95,4.393
96,4.635
97,4.924
98,5.359
99,6.271
