starttime	seconds	ctime	dtime	ttime	wait
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:40 2015	1437642760	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:42 2015	1437642762	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:45 2015	1437642765	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:47 2015	1437642767	0	1	1	1
Thu Jul 23 11:12:46 2015	1437642766	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:44 2015	1437642764	0	1	1	1
Thu Jul 23 11:12:39 2015	1437642759	0	1	1	1
Thu Jul 23 11:12:36 2015	1437642756	0	1	1	1
Thu Jul 23 11:12:41 2015	1437642761	0	1	1	1
Thu Jul 23 11:12:43 2015	1437642763	0	1	1	1
Thu Jul 23 11:12:37 2015	1437642757	0	1	1	1
Thu Jul 23 11:12:38 2015	1437642758	0	1	1	1
